Image,Vehicle_Count,Traffic_Density
A:/ai_project/traffic-detection-project/train/images\aguanambi-1000_png_jpg.rf.0ab6f274892b9b370e6441886b2d7b9d.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1000_png_jpg.rf.dc59d3c5df5d991c1475e5957ea9948c.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1000_png_jpg.rf.f425c626b206bb27a1b73fa7e38d6361.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1085_png_jpg.rf.60d1095729839f1644f21e2a31e55cec.jpg,3,7.32E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1085_png_jpg.rf.9560a8e9822039cd2b4566dd71f288a7.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1085_png_jpg.rf.ba8bcc4fd6c7cae9f610e611e300bdf1.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1090_png_jpg.rf.6bc72d297979796c1a87ba754fec824c.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1090_png_jpg.rf.906544c343fd56ec0ed1ed1f48e8e7c2.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1090_png_jpg.rf.da8757883707a0aba29fb71deb2f8872.jpg,2,4.88E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1100_png_jpg.rf.09650bd053f33e6057e6e1840ca909f9.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1100_png_jpg.rf.4cb9aaea57075d665b72dd30eda9aa06.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1100_png_jpg.rf.d80a5e24fefe8ec0b7f3eab360ef4424.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1110_png_jpg.rf.9439331a624f8afc4871caf0ffe8f7cc.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1110_png_jpg.rf.944e2d609db4f393bd4dce0f40acafc8.jpg,9,2.20E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1110_png_jpg.rf.aca9432a9bcd0ef761dcb9b9b7e4d130.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1115_png_jpg.rf.57b847951689b9dfc62a8199603f8ec1.jpg,1,2.44E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1115_png_jpg.rf.5982f904a783a1a61fec2c0562e64e0d.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1115_png_jpg.rf.603b3e12b0e814c65e13cf759d10d326.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1120_png_jpg.rf.0214784a6a3f9b3080174e67c2ef3a00.jpg,7,1.71E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1120_png_jpg.rf.264c29bc6c5616e553e1f5fbc8ba8512.jpg,0,0
A:/ai_project/traffic-detection-project/train/images\aguanambi-1120_png_jpg.rf.85a5d581484d3dd2e72361e5e0952321.jpg,4,9.77E-06
A:/ai_project/traffic-detection-project/train/images\aguanambi-1120_png_jpg.rf.bac4ac8e15dd4c9b16d1d08981ae6e1a.jpg,6,1.46E-05
A:/ai_project/traffic-detection-project/train/images\aguanambi-1120_png_jpg.rf.db238df5bc7656a2bd55298bb27d7979.jpg,8,1.95E-05
